Published,Quarter,Title,Start,End,Description
Yes,Fall 2016,Fall Quarter 2016 Orientation,9/20/2016,9/25/2016,
Yes,Fall 2016,Fall Quarter 2016 Week One,9/26/2016,9/30/2016,"Classes begin.
Final week to register online or to register for internships and ILCs.
Registration office open until 6 pm.
Adding classes requires faculty approval.
In-office only registration opens for tuition waivers: Evergreen employees, Washington state employees, 60+, and National Guard."
Yes,Fall 2016,Tuition Deadline,9/30/2016,,Final day to drop classes for 100% refund.
Yes,Fall 2016,Fall Quarter 2016 Week Two,10/3/2016,10/7/2016,Adding Classes incurs $50 late fee and requires faculty approval
Yes,Fall 2016,Fall 2016 50% Tuition Refund,10/3/2016,10/25/2016,
Yes,Fall 2016,Fall Quarter 2016 Week Three,10/10/2016,10/14/2016,Adding classes incurs $100 late fee and requires a petition and faculty approval.
Yes,Fall 2016,Fall Quarter 2016 Week Four,10/17/2016,10/21/2016,Adding classes incurs $100 late fee and requires a petition and faculty approval.
Yes,Fall 2016,Fall Quarter 2016 Week Five,10/24/2016,10/28/2016,"Until October 25, adding classes incurs $100 late fee and requires a petition and faculty approval. October 25 is the final day for any registration in Fall 2016."
Yes,Fall 2016,Final Day to Drop Fall 2016,10/25/2016,,
Yes,Fall 2016,Fall Quarter 2016 Week Six,10/31/2016,11/4/2016,
Yes,Fall 2016,Fall Quarter 2016 Week Seven,11/7/2016,11/11/2016,
Yes,Fall 2016,Fall Quarter 2016 Week Eight,11/14/2016,11/18/2016,
Yes,Fall 2016,Thanksgiving Break Week 2016,11/21/2016,11/25/2016,
Yes,Fall 2016,Fall Quarter 2016 Week Nine,11/28/2016,12/2/2016,
Yes,Fall 2016,Fall Quarter 2016 Week Ten,12/5/2016,12/9/2016,Registration opens for Winter 2016.
Yes,Fall 2016,Fall Quarter 2016 Evaluation Week,12/12/2016,12/16/2016,Registration open for Winter 2016.
Yes,Fall 2016,Fall Graduation Academic Statement Due,12/16/2016,,Seniors graduating Fall 2016 must turn in their final Academic Statement by this date.
