"title","Start Date","End Date","body","quarter","building","room","sponsor","promote","nid","created","repeat"
"Week 2 Fall Quarter","2014-10-06 07:00:00","2014-10-06 07:00:00","","","","","","No","769","2015-10-06T13:38:07-07:00","<span class=""date-display-single"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-06T00:00:00-07:00"">Monday, October 6, 2014 (All day)</span>"
"Legislative Internship Information Session","2014-10-06 22:00:00 to 2014-10-06 23:30:00","2014-10-06 22:00:00 to 2014-10-06 23:30:00","","","","SEM II B1105","","No","1392","2015-10-06T14:38:48-07:00","<span class=""date-display-single"">Monday, October 6, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-06T15:00:00-07:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-06T16:30:00-07:00"">4:30 pm</span></span></span>"
"PUC Meeting","2014-10-06 22:00:00 to 2014-10-07 00:00:00","2014-10-06 22:00:00 to 2014-10-07 00:00:00","","","","TBA","","No","694","2015-10-06T13:37:50-07:00","<span class=""date-display-single"">Monday, October 6, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-06T15:00:00-07:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-06T17:00:00-07:00"">5:00 pm</span></span></span>"
"Men's Soccer vs. Concordia","2014-10-07 22:00:00 to 2014-10-08 00:00:00","2014-10-07 22:00:00 to 2014-10-08 00:00:00","","","","Geoduck Pitch (Field #4)","","No","1041","2015-10-06T14:26:34-07:00","<span class=""date-display-single"">Tuesday, October 7, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-07T15:00:00-07:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-07T17:00:00-07:00"">5:00 pm</span></span></span>"
"Evening and Weekend Dean Open Hours","2014-10-07 23:00:00 to 2014-10-08 01:00:00","2014-10-07 23:00:00 to 2014-10-08 01:00:00","<p>Visit with the Academic Dean for Evening and Weekend Studies to bring curriculum ideas, suggestions, complaints, compliments, or just to say hello.</p>","","","SEM II B2126","","No","1399","2015-10-06T14:38:48-07:00","<span class=""date-display-single"">Tuesday, October 7, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-07T16:00:00-07:00"">4:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-07T18:00:00-07:00"">6:00 pm</span></span></span>"
"Green Dot: How You Can Help Reduce the Rates of Violence in our Community","2014-10-08 02:00:00 to 2014-10-08 03:00:00","2014-10-08 02:00:00 to 2014-10-08 03:00:00","<p>Designed for returning residents (but open to all students!), this 45-minute workshop will help you explore how you can make a difference in reducing incidences of power based personal violence on campus. We will scan ID cards to take attendance; please make sure you bring yours with you!</p>","","","HCC","","No","1000","2015-10-06T14:23:52-07:00","<span class=""date-display-single"">Tuesday, October 7, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-07T19:00:00-07:00"">7:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-07T20:00:00-07:00"">8:00 pm</span></span></span>"
"The Art Lecture Series - Sacred Trees of India: Photography by Deidi von Schaewen","2014-10-08 18:30:00 to 2014-10-08 20:00:00","2014-10-08 18:30:00 to 2014-10-08 20:00:00","<p>Free to the public, Evergreen's visual arts and writing programs offer an opportunity to hear local, national and international interdisciplinary artists, writers and art workers speak about their work. The fall 2014 series will present a diverse and interesting lineup. Artists were chosen (albeit loosely) with the year's theme of ""paying attention"" in mind. The theme comes from the orientation book, ""Crow Planet"" by Lyanda Lynn Haupt. </p> <p>Artist lecture<br /> Sacred Trees of India: Photographs by Deidi von Schaewen</p> <p> For the past 28 years, von Schaewen has traveled in India, immersing herself in its people and culture, and exploring themes through her photography and video. For her series on the Sacred Trees, she traveled the length and breadth of India. The exhibition in Evergreen Gallery is an opportunity to view these lush, complex images in large-scale, to be surrounded by their energy and power.</p> <p>Born in Berlin, von Schaewen studied painting at the Berlin Academy of Arts before deciding to concentrate on photography and film. Currently she is based in Paris. She has exhibited extensively throughout Europe, India, North Africa, and the US. Twenty books of her photographs have been published, with one about Sacred Trees of India due out next year. A continuing obsession of hers is to capture on film the ephemeral, aspects of our urban and rural civilizations that are temporary, fleeting, or vanishing with time. For the Sacred Trees of India, it is more a revelation of devotion and accumulation over time, the ability of trees to survive, rejuvenate, transform – in India, trees are not only sacred to the gods, they can actually BE gods.</p> <p>Von Schaewen was director of photography for a feature film by Robert Cordier in 1972 – a time when it was unusual for a woman to be in that position. She continued as director of photography on other films, and in 1978 she</p>","","","Lecture Hall 1 - The Evergreen State College, Olympia, WA","","No","806","2015-10-06T14:14:04-07:00","<span class=""date-display-single"">Wednesday, October 8, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T11:30:00-07:00"">11:30 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T13:00:00-07:00"">1:00 pm</span></span></span>"
"Faculty Meeting","2014-10-08 20:00:00 to 2014-10-08 22:00:00","2014-10-08 20:00:00 to 2014-10-08 22:00:00","","","","SEM II B-1105","","No","663","2015-10-06T13:37:39-07:00","<span class=""date-display-single"">Wednesday, October 8, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T13:00:00-07:00"">1:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T15:00:00-07:00"">3:00 pm</span></span></span>"
"TRIO @ Evergreen Workshop - Graduate School Info","2014-10-08 20:00:00 to 2014-10-08 22:00:00","2014-10-08 20:00:00 to 2014-10-08 22:00:00","<p>Information Session hosted by First Peoples Multicultural Advising</p>","","","LIB 1001","","No","1386","2015-10-06T14:38:48-07:00","<span class=""date-display-single"">Wednesday, October 8, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T13:00:00-07:00"">1:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T15:00:00-07:00"">3:00 pm</span></span></span>"
"Academic Statement Mentor Council","2014-10-08 22:00:00 to 2014-10-09 00:00:00","2014-10-08 22:00:00 to 2014-10-09 00:00:00","","","","TBA","","No","693","2015-10-06T13:37:50-07:00","<span class=""date-display-single"">Wednesday, October 8, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T15:00:00-07:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T17:00:00-07:00"">5:00 pm</span></span></span>"
