"id","Term name","group","linktitle","link"
"1","alumni","Directories","Evergreen Authors Directory","/alumni/authors-directory"
"2","alumni","Directories","Alumni Entrepreneurs","/alumni/entrepreneur-directory"
"3","about","Explore Campus","Virtual Campus Tour","/tour/tours-maps"
"4","about","Explore Campus","Explore Olympia and Beyond","/about/explore-olympia-and-beyond"
"5","about","Learning at Evergreen","Expectations of a Evergreen Graduate","/about/six-expectations-evergreen-graduate"
"6","about","Learning at Evergreen","Graduate Studies","/admissions/graduate-studies"
"7","about","Learning at Evergreen","Mission","/about/evergreen%25E2%2580%2599s-mission"
"8","about","Learning at Evergreen","National Reputation","/about/evergreen%25E2%2580%2599s-national-reputation"
"9","about","Learning at Evergreen","Programs and Classes","/academics/programs-and-classes"
"10","about","Evergreen's People","Fast Facts","/about/fast-facts"
