From URL,To URL,Redirect Status
about,about/home,301
academics,academics/home,301
academicstatement,academicstatement/home,301
access,access/home,301
activities,activities/home,301
admissions,admissions/home,301
advancement,advancement/home,301
advising,advising/home,301
alumni,alumni/home,301
annualreport,annualreport/home,301
budget,budget/home,301
business,business/home,301
campuscalendar,campuscalendar/home,301
campuslife,campuslife/home,301
career,career/home,301
carenetwork,carenetwork/home,301
catalog,catalog/home,301
ccam,ccam/home,301
childrenscenter,childrenscenter/home,301
civicengagement,civicengagement/home,301
classschedules,classschedules/home,301
committee,committee/home,301
communitybasedlearning,communitybasedlearning/home,301
commute,commute/home,301
conference,conference/home,301
copycenter,copycenter/home,301
copyright,copyright/home,301
costs,costs/home,301
currentstudent,currentstudent/home,301
deans,deans/home,301
dining,dining/home,301
directory,directory/home,301
diversity,diversity/home,301
dmca,dmca/home,301
elearningforeducators,elearningforeducators/home,301
electronicmedia,electronicmedia/home,301
employment,employment/home,301
evaluations,evaluations/home,301
eveningweekend,eveningweekend/home,301
events,events/home,301
facilities,facilities/home,301
faculty,faculty/home,301
facultydevelopment,facultydevelopment/home,301
facultyhiring,facultyhiring/home,301
facultystaff,facultystaff/home,301
ferpa,ferpa/home,301
financeadmin,financeadmin/home,301
financialaid,financialaid/home,301
financialreports,financialreports/home,301
financialservices,financialservices/home,301
foundation,foundation/home,301
gallery,gallery/home,301
gateways,gateways/home,301
gearup,gearup/home,301
geoduck,geoduck/home,301
give,give/home,301
govrelations,govrelations/home,301
graduatestudies,graduatestudies/home,301
graduation,graduation/home,301
health,health/home,301
housing,housing/home,301
humanresources,humanresources/home,301
humansubjectsreview,humansubjectsreview/home,301
individualstudy,individualstudy/home,301
institutionalresearch,institutionalresearch/home,301
international,international/home,301
internationaladvising,internationaladvising/home,301
k12outreach,k12outreach/home,301
library,library/home,301
lists,lists/home,301
longhouse,longhouse/home,301
magazine,magazine/home,301
marketing,marketing/home,301
mathcenter,mathcenter/home,301
medialoan,medialoan/home,301
mediaservices,mediaservices/home,301
mes,mes/home,301
mit,mit/home,301
motorpool,motorpool/home,301
mpa,mpa/home,301
multicultural,multicultural/home,301
nativeprograms,nativeprograms/home,301
news,news/home,301
organicfarm,organicfarm/home,301
parents,parents/home,301
parking,parking/home,301
payroll,payroll/home,301
performingarts,performingarts/home,301
policeservices,policeservices/home,301
president,president/home,301
presidentsearch,presidentsearch/home,301
press,press/home,301
provost,provost/home,301
publicrecords,publicrecords/home,301
purchasing,purchasing/home,301
recreation,recreation/home,301
registration,registration/home,301
salt,salt/home,301
schedules,schedules/home,301
scholarships,scholarships/home,301
sciencesupport,sciencesupport/home,301
sponsoredresearch,sponsoredresearch/home,301
strategicplan,strategicplan/home,301
streams,streams/home,301
studentaffairs,studentaffairs/home,301
studentemployment,studentemployment/home,301
studentservices,studentservices/home,301
studies,studies/home,301
studyabroad,studyabroad/home,301
styleguide,styleguide/home,301
summer,summer/home,301
surf,surf/home,301
sustainability,sustainability/home,301
sustainableinfrastructure,sustainableinfrastructure/home,301
tacoma,tacoma/home,301
technology,technology/home,301
telecom,telecom/home,301
titleix,titleix/home,301
tour,tour/home,301
tribal,tribal/home,301
trio,trio/home,301
trustees,trustees/home,301
veterans,veterans/home,301
violenceprevention,violenceprevention/home,301
wacla,wacla/home,301
webresources,webresources/home,301
writingcenter,writingcenter/home,301
