From URL,To URL,Redirect Status,Redirect Language
ad-direct/jblm-2016,veterans,,
campaign/annualfund2016/fb,https://commerce.cashnet.com/givetoevergreen?itemcode=ALUMNI-EAF,,
campaign/annualfund2016/ig,https://commerce.cashnet.com/givetoevergreen?itemcode=ALUMNI-EAF,,
campaign/annualfund2016/li,https://commerce.cashnet.com/givetoevergreen?itemcode=ALUMNI-EAF,,
campaign/ss4,admissions/apply,,
magazine,magazine/2016spring-summer/,,
care,studentaffairs/care,,
employ,employment,,
media,mediaservices,,
provost/Washington Consortium for the Liberal Arts - WaCLA,wacla/home,,
mediation,studentaffairs/care,,
