"Title","Abbreviated Building Name","Building History","Description","Official Name","Square Footage","Nid"
" Organic Farm House","
  
    OFM  
","
  
    Date of Construction: 1972
Architect: Jon Collier
Renovation Date: None  
","
  
     A wood structure with two floor and a third story loft. It contains a classroom, kitchen, and a caretaker's apartment. The farmhouse has a residential atmosphere and is heated by electric baseboard heat. The current structure replaced a farmhouse that was on the property when the land was acquired by the state.  
","
  
     Organic Farm House  
","
  
    3479  
","6942"
"Art Science Annex","
  
    ASA  
","
  
    Date of Construction: 1973
Renovation Date: 2010
Architect:
Phase I 1973 - Naramore - Bain - Brady & Johnson
Phase II 1988 - The Miller / Hull Partnership
Phase III 1992 - Carlson / Ferrin Architects, P.S.
Partial Remodel 2010 - McGranahan Architects  
","
  
    The Annex contains a large high-ceiling laboratory space for art and for other large-scale instructional activities involving metal, wood, glass, clay and stone work. Also included in the building are art studios and a critique room. Additionally, this building has a large receiving-working dock area and an outdoor casting area with four kilns. This structure is connected by a bridge to the Phase I laboratory structure.  
","
  
    Art Annex  
","
  
    30321  
","6924"
"Central Utility Plant","
  
    CUP  
","
  
    Date of Construction: 1971
Architect: Bouillon - Christofferson & Schairer  
","
  
    This facility is located east of the Communications building. It contains two 35,000 pound per hour fire tube boilers and one 12,000 pound per hour water tube boiler. There is a 1,000 and 800 pound chiller that provides cooling to the campus buildings. The building is designed to accommodate one additional boiler and two additional chillers.  
","
  
    Central Utility Plant  
","
  
    24912  
","6936"
"Childcare Center","
  
    CCC  
","
  
    Date of Construction: 1969
Architect: Environmental Works- Community Design Center, Seattle, Washington
Gross Sq. Feet: 3,057
Renovation Date: December 2004  
","
  
    Originally a wooden structure that the college purchased with the campus property in 1967, the Center was a privately owned meat processing facility. The building was remodeled in 1983 and served as the Facilities Office and art studios in years past.

The Child Care Center expansion was completed in December of 2004. The college expanded the existing center and incorporated as many environmentally friendly and sustainable practices as possible. A few of the features that the users will benefit from are the low flow plumbing and hands free children's faucets, use of recycled material such as concrete, carpet, insulation, use of low volatile organic compound paints, and energy and light studies performed and used to design the layout of the building.

Campus staff, students and parents volunteered their labor to assist with the installation of some of the playground equipment which was designed and constructed by Leon Smith. The landscaping was designed and installed by Benjamin Helmes. Both individuals are Evergreen students.  
","
  
    Child Care Center  
","
  
    3057  
","6925"
"College Activities Building","
  
    CAB  
","
  
    Date of Construction: 1972
Renovation Date: 2010
Architect:
Phase I 1972 - Kirk Wallace - McKinley AIA & Associates
Phase II 1990 - Olson - Sundberg architects
Renovation 2010 - DLR Group  
","
  
    The CAB houses the main food service facility for both campus residents and commuter students; included are the Flaming Eggplant Cafe, Marketplace, and a full-service dining hall. Besides the dining hall, there is additional seating in the student lounges on the second floor by the deli. Also on the second floor is Conference Services and the Greenery bookstore that sells instructional materials and supplies.  First floor facilities are the dining hall, cash machine, vending area, college FM radio station, bike repair shop and the staff/faculty lounge. The third floor houses the Flaming Eggplant, Student Activities office areas, including the student newpaper, and student art gallery. There is a large receiving-storage area connected to an underground entrance. The building has its own loading dock.  
","
  
    College Activities Building  
","
  
    112239  
","6926"
"Communications Building","
  
    CB  
","
  
    Date of Construction: 1977
Architect: 1977 Walker / McGough/ Foltz / Lyerla Addition 1996 - Buffalo Design, Inc.
Renovation Date: Currently under renovation with completion date of 2013  
","
  
    The Communications Building houses classrooms, faculty and staff offices, and specialized production facilities for the performing arts, audio, film and animation curriculum at Evergreen. The facility includes the Experimental Theater black box performance space, the Recital Hall, the scenic and costume shop, four dance/theater rehearsal rooms, multitrack audio recording facilities, electronic music studios, post production film and animation facilities, and several multiuse classroom/meeting/rehearsal rooms.  
","
  
    Communications Laboratory  
","
  
    121513  
","6928"
"Costantino Recreation Center","
  
    CRC  
","
  
    Date of Construction: 1972
Architect:
Phase I 1972 Robert Billsbrough Price FAIA & Associates
Phase II 1987 - Cummings - Schlatter Associates
Loschky - Marquard & Nesholm  
","
  
    The CRC was built in two phases. The first phase houses a large swimming pool and diving tank, five handball courts, multipurpose rooms, exercise/weight rooms, two sauna bath rooms, locker-shower facilities and an office area. The addition contains the gymnasium, movement rooms, a classroom, wellness center and an office suite with workrooms and conference space.  
","
  
    College Recreation Center  
","
  
    115680  
","6927"
"Covered Recreation Pavilion","
  
    CRP  
","
  
    Date of Construction: 1973
Architect: Robert Billsbrough Price FAIA & Associates
Renovation Date: None  
","
  
    A large covered facility, the Pavilion contains hard surfaced activity areas for basketball, tennis, volleyball and badminton. It can also serve as a large, covered outdoor assembly area.

Contact the College Recreation Center Facilities Coordinator for space Rentals.  
","
  
    Covered Recreation Pavilion  
","
  
    18559  
","6929"
"Daniel J. Evans Library ","
  
    LIB  
","
  
    Date of Construction: 1971
Renovation Date: 2005-2009
Architect: Durham - Anderson - Freed Architects AIA
Renovation 2005-2009 - Studio Meng Strazzara  
","
  
    This building is a large multipurpose structure containing the campus library, media services space, classrooms, faculty offices, administrative offices, conference rooms and lounge and storage areas. The offices of Admissions, Registration, the Controller, and Student Advising are also located in this building. Most floors of this structure are carpeted.  
","
  
    Daniel J. Evans Library   
","
  
    346969  
","6932"
"Garage ","
  
    EMP  
","
  
    Date of Construction: 1970
Architect:Bennett & Johnson A.I.A. Associates  
","
  
    Houses the maintenance bays and fuel pumps.
  
","
  
    Garage - Evergreen Motor Pool  
","
  
    2709  
","6939"
"Lab I","
  
    LAB I  
","
  
    Date of Construction: 1972
Renovation Date: 2007 (First Floor Labs)
Architect:
Naramore - Bain - Brady & Johnson
Renovation 2007 - Opsis Architecture  
","
  
    Lab I includes laboratory classroom; Lab Stores; herbarium; vertebrate and insect collection; faculty offices and research labs; storage rooms; and meeting rooms. The building is connected on all floors to the south end of Lab II.  
","
  
    Science Lab Phase I  
","
  
    85269  
","6930"
"Lab II","
  
    LAB II  
","
  
    Date of Construction: 1975
Renovation Date:
2000 (First Floor Computer Applications Lab)
2007 (Third Floor Chemistry and Geology Lab)
Architect:
Naramore - Bain - Brady & Johnson
First Floor Remodel 2000 - Studio Meng Strazzara
Third Floor Remodel 2007 - Design Firm: Arai Jackson Ellison Murakami  
","
  
    Lab II contains classrooms; Computer Applications Lab (CAL); chemistry and geology labs; weaving, neon, metal, and print studios; faculty offices; and the Facilities Services Department. The building is connected on all floors to the west end of Lab I.  
","
  
    Science Laboratory Phase II  
","
  
    88176  
","6931"
