From URL,To URL,Redirect Status,Redirect Language
aboutevergreen,about,,
transfer,academics/transfer,,
academicstatement/contest-winners,academicstatement/contest,,
academicstatement/writing-contest,academicstatement/contest,,
academicstatement/faq,academicstatement/home,,
academicstatement/history,academicstatement/home,,
greenscreen,activities/greenscreen,,
infodesk/greenscreen,activities/greenscreen,,
activities/sanda,activities/saboard,,
sa/,activities,,
base,ad-direct/jblm-2016,,
admissions/application,admissions/apply,,
apply,admissions/apply,,
admissions/apply.html,admissions/apply.htm,,
admissions/fridays,admissions/events/fridays,,
admissions/gogreen,admissions/events/gogreen,,
admissions/open-house,admissions/events/open-house,,
admissions/previewday,admissions/events/previewday,,
fridays,admissions/fridays,,
gogreen,admissions/gogreen,,
graduate,admissions/graduate,,
admissions/welcome,admissions/home,,
previewday,admissions/previewday,,
admissions/adultstudent,admissions/requirements/adultstudent,,
admissions/freshman,admissions/requirements/freshman,,
admissions/international,admissions/requirements/international,,
admissions/returning,admissions/requirements/returning,,
admissions/transfer,admissions/requirements/transfer,,
admissions/transfercredit,admissions/requirements/transfercredit,,
admissions/transferdegrees,admissions/requirements/transferdegrees,,
admissions/upsidedown,admissions/requirements/upsidedown,,
transferdegrees,admissions/transferdegrees,,
admissions/individualvisit,admissions/visit,,
admissions/tour,admissions/visit,,
visit,admissions/visit,,
visit/evaluation,admissions/visitforms/visitevaluationform,,
why,admissions/why,,
counselors,ads/counselors,,
americorps,ads/graduate/americorps,,
military,ads/military,,
think,ads/think,,
advising/freshmanadvisingday,advising/fad,,
internships,advising/intern.htm,,
subsites/alumnifriends,alumni,,
association,alumni/association,,
entrepreneurs,alumni/entrepreneurs,,
alumni/greenercities15,alumni/events/April_18_Seattle,,
annualreports,annualreport,,
businessservices,business,,
accountspayable,business/accountspayable,,
riskmanagement,business/riskmanagement,,
forlyndaandbruce,campaign/lyndaandbruce/,,
mediation,carenetwork,,
environment,catalog/2012-13/mes,,
science2016,catalog/2016-17/science,,
events/civicengagement,civicengagement,,
cleanenergy,committee/cleanenergy,,
dtf,committee,,
rideshare,commute/rideshare,,
ctr,commute,,
it,computing,,
computing/copyright,copyright,,
financialaid/calculator,costs/netprice-freshman.htm,,
phonedirectory,directory,,
diversity/jobquestionaire,diversity/jobsbyemail.htm,,
genderandrace,diversity/series,,
diversityseries,diversity/series,,
equalop,diversity,,
media/em,electronicmedia,,
media/avclassrooms,electronicmedia/mediaclassrooms,,
media/mml,electronicmedia/multimedialab,,
evaluations/evaluationsprocess,evaluations/process,,
evaluations/examples,evaluations/process,,
evaluations/facultyevaluationofstudent,evaluations/process,,
evaluations/faq,evaluations/process,,
evaluations/studentevaluationfaculty,evaluations/process,,
evaluations/studentselfevaluation,evaluations/process,,
evaluations/evaluationstatus,evaluations/status,,
evaluations/faculty/status,evaluations/status,,
eveningandweekend/,eveningweekend/,,
eveningweekend/ghc,eveningweekend/grays-harbor,,
graysharbor,eveningweekend/grays-harbor,,
ews,eveningweekend/home,,
eveningweekend/priorlearning,eveningweekend/ple,,
priorlearning,eveningweekend/ple,,
emergencypreparedness,emergencyresponse,,
facilities/emergency,emergencyresponse,,
facilities/projectsandreports,"facilities/projectmanagement/projectsandreports	",,
cashier,financialservices,,
studentaccounts,financialservices,,
webpayment,financialservices/payments,,
business/studentfinancialservices/perkinsloan,financialservices/perkins,,
business/studentfinancialservices/installmentplan,financialservices/prepayment,,
business/studentfinancialservices/fees,financialservices/tuition,,
business/studentfinancialservices/tuitionrates,financialservices/tuition,,
freshmen,freshman,,
athletics/geoduck,geoduck,,
annualgiving,give/annual-giving,,
artofliving,give/art-of-living,,
jackierobinson,give/jackierobinson,,
admissions/graduate,graduatestudies,,
graduation/faq,graduation/home,,
counseling,health/counseling,,
flu,health/flu,,
welcome,home,,
rad/,housing/,,
teachinggardens,http://academic.evergreen.edu/projects/arboretum,,
bdei,http://academic.evergreen.edu/projects/bdei,,
biophysics,http://academic.evergreen.edu/projects/biophysics,,
canopylab,http://academic.evergreen.edu/projects/canopylab,,
ehealthinstitute,http://academic.evergreen.edu/projects/ehealthinstitute,,
evergreenbiota,http://academic.evergreen.edu/projects/evergreenbiota,,
mushrooms,http://academic.evergreen.edu/projects/mushrooms,,
researchambassador,http://academic.evergreen.edu/projects/researchambassador,,
monteverde,http://acdrupal.evergreen.edu/monteverde/,,
catalog/2010-11,http://archives.evergreen.edu/catalogs/2010-11/,,
catalog/2011-12,http://archives.evergreen.edu/catalogs/2011-12/,,
catalog/2012-13,http://archives.evergreen.edu/catalogs/2012-13/,,
languagelab,http://blogs.evergreen.edu/languagelab/,,
phage,http://blogs.evergreen.edu/phage,,
greenprisons,http://blogs.evergreen.edu/sustainableprisons/,,
mes/tedx,http://blogs.evergreen.edu/tedx/,,
admincomputing,http://collab.evergreen.edu/admincomputing,,
calendar,http://collab.evergreen.edu/calendar/,,
calendars,http://collab.evergreen.edu/calendar/,,
campuscalendar,http://collab.evergreen.edu/calendar/,,
campuscalendar/ataglance,http://collab.evergreen.edu/calendar/academic,,
calendar/,http://collab.evergreen.edu/calendar/community,,
policies/,http://collab.evergreen.edu/policies/,,
policies/home.htm,http://collab.evergreen.edu/policies/,,
policies/search/home.htm,http://collab.evergreen.edu/policies/,,
policies/az/home.htm,http://collab.evergreen.edu/policies/az,,
policies/category/board.htm,http://collab.evergreen.edu/policies/categories/board-trustees,,
policies/category/budget.htm,http://collab.evergreen.edu/policies/categories/budget-and-planning,,
policies/category/advancement.htm,http://collab.evergreen.edu/policies/categories/college-advancement,,
policies/category/employment.htm,http://collab.evergreen.edu/policies/categories/employment-policies,,
policies/category/faculty.htm,http://collab.evergreen.edu/policies/categories/faculty-handbook,,
policies/category/fad.htm,http://collab.evergreen.edu/policies/categories/finance-and-administration,,
policies/category/governance.htm,http://collab.evergreen.edu/policies/categories/governance-and-grievance-procedures,,
