From URL,To URL,Redirect Status,Redirect Language
about/home,about,,
academics/home,academics,,
academicstatement/home,academicstatement,,
access/home,access,,
activities/home,activities,,
admissions/home,admissions,,
advancement/home,advancement,,
advising/home,advising,,
aglab/home,aglab,,
alumni/home,alumni,,
annualreport/home,annualreport,,
budget/home,budget,,
business/home,business,,
campuscalendar/home,campuscalendar,,
campuslife/home,campuslife,,
career/home,career,,
carenetwork/home,carenetwork,,
catalog/home,catalog,,
childrenscenter/home,childrenscenter,,
civicengagement/home,civicengagement,,
committee/home,committee,,
communitybasedlearning/home,communitybasedlearning,,
commute/home,commute,,
conference/home,conference,,
copycenter/home,copycenter,,
copyright/home,copyright,,
costs/home,costs,,
currentstudent/home,currentstudent,,
deans/home,deans,,
dining/home,dining,,
directory/home,directory,,
diversity/home,diversity,,
dmca/home,dmca,,
elearningforeducators/home,elearningforeducators,,
electronicmedia/home,electronicmedia,,
emergencyresponse/home,emergencyresponse,,
emergencyresponse/home,emergencyresponse,,
employment/home,employment,,
equalopportunity/home,equalopportunity,,
evaluations/home,evaluations,,
eveningweekend/home,eveningweekend,,
facilities/home,facilities,,
faculty/home,faculty,,
facultydevelopment/home,facultydevelopment,,
facultyhiring/home,facultyhiring,,
facultystaff/home,facultystaff,,
ferpa/home,ferpa,,
financeadmin/home,financeadmin,,
financialaid/home,financialaid,,
financialreports/home,financialreports,,
financialservices/home,financialservices,,
foundation/home,foundation,,
gallery/home,gallery,,
gateways/home,gateways,,
gearup/home,gearup,,
geoduck/home,geoduck,,
give/home,give,,
govrelations/home,govrelations,,
graduatestudies/home,graduatestudies,,
graduation/home,graduation,,
health/home,health,,
housing/home,housing,,
humanresources/home,humanresources,,
humansubjectsreview/home,humansubjectsreview,,
individualstudy/home,individualstudy,,
Infrastructure/home,Infrastructure,,
institutionalresearch/home,institutionalresearch,,
instrumentation/home,instrumentation,,
international/home,international,,
internationaladvising/home,internationaladvising,,
library/home,library,,
longhouse/home,longhouse,,
magazine/home,magazine,,
marketing/home,marketing,,
mathcenter/home,mathcenter,,
mediaarts/home,mediaarts,,
medialoan/home,medialoan,,
mediaservices/home,mediaservices,,
mes/home,mes,,
mit/home,mit,,
motorpool/home,motorpool,,
mpa/home,mpa,,
multicultural/home,multicultural,,
nativeprograms/home,nativeprograms,,
news/home,news,,
organicfarm/home,organicfarm,,
parking/home,parking,,
payroll/home,payroll,,
performingarts/home,performingarts,,
policeservices/home,policeservices,,
president/home,president,,
press/home,press,,
provost/home,provost,,
provostsearch/home,provostsearch,,
publicrecords/home,publicrecords,,
purchasing/home,purchasing,,
recreation/home,recreation,,
registration/home,registration,,
salt/home,salt,,
schedules/home,schedules,,
scholarships/home,scholarships,,
sciencesupport/home,sciencesupport,,
sponsoredresearch/home,sponsoredresearch,,
strategicplan/home,strategicplan,,
streams/home,streams,,
studentaffairs/home,studentaffairs,,
studentemployment/home,studentemployment,,
studentservices/home,studentservices,,
studies/home,studies,,
studyabroad/home,studyabroad,,
styleguide/home,styleguide,,
summer/home,summer,,
surf/home,surf,,
sustainability/home,sustainability,,
sustainableinfrastructure/home,sustainableinfrastructure,,
tacoma/home,tacoma,,
technology/home,technology,,
telecom/home,telecom,,
titleix/home,titleix,,
tour/home,tour,,
tqc/home,tqc,,
travel/home,travel,,
tribal/home,tribal,,
trio/home,trio,,
trustees/home,trustees,,
veterans/home,veterans,,
violenceprevention/home,violenceprevention,,
visualarts/home,visualarts,,
wacla/home,wacla,,
webresources/home,webresources,,
writingcenter/home,writingcenter,,
