Term name,Long name,Background
budget,Budget,budget.jpg
copyright,Copyright,copyright.jpg
dmca,Digital Millennium Copyright Act,dmca.jpg
elearningforeducators,eLearning for Educators,elearning.jpg
electronicmedia,Electronic Media,electronicmedia.jpg
foundation,The Foundation,foundation2.jpg
gallery,Evergreen Gallery,gallery.jpg
gateways,Gateways for Incarcerated Youth,gateways.jpg
give,Giving to Evergreen,give.jpg
graduation,Graduation Commencement Ceremony,graduation.jpg
humanresources,Human Resources,humanresources.jpg
international,International Students,international.jpg
library,Library,library.jpg
marketing,Marketing and Communications,marketing.jpg
mediaservices,Media Services,mediaservices.jpg
mpa,Master of Public Administration,mpa.jpg
access,Access Services for Students with Disabilities,
advancement,Office of College Advancement,
business,Business Services,
businesstravel,Travel Office,
carenetwork,"CARE Network: Conflict Assistance, Resources & Empowerment",
childrenscenter,Children's Center,
committee,Committees & DTFs,
communitybasedlearning,Center for Community-Based Learning and Action,
conference,Conference Services,
copycenter,Copy Center,
deans,Academic Deans,
diversity,Office for Diversity Affairs and Equal Opportunity,
emergencyresponse,Emergency Preparedness & Response,
facilities,Facilities,
facultydevelopment,Faculty Development,
facultyhiring,Faculty Hiring,
ferpa,Family Educational Rights and Privacy Act (FERPA),
financeadmin,Finance and Administration,
financialreports,Annual Financial Reports,
gearup,GEAR UP,
health,Health & Counseling Services,
humansubjectsreview,Human Subjects Review (HSR),
individualstudy,Individual Study,
institutionalresearch,Institutional Research,
internationaladvising,International Student Advising,
longhouse,Longhouse,
mathcenter,Quantitative & Symbolic Reasoning Center,
mediaarts,The Art Annex,
multicultural,First Peoples Advising,
nativeprograms,Native Programs,
organicfarm,Organic Farm,
parking,Parking Services,
performingarts,Performing and Media Arts,
provost,The Provost's Office,
sponsoredresearch,Academic Grants,
streams,Live Streaming Video,
studentaffairs,Student Affairs,
studentemployment,Student Employment,
studentservices,Student and Academic Support Services (SASS),
studyabroad,International Programs and Services,
sustainability,Sustainability,
telecom,Telecom,
tribal,Tribal: Reservation Based Community Determined Program,
trio,TRiO,
trustees,Trustees,
violenceprevention,Office of Sexual Violence Prevention (OSVP),
writingcenter,The Writing Center,
news,News & Events,news.jpg
policeservices,Police Services,policeservices.jpg
president,The Office of the President,president.jpg
publicrecords,Public Records,publicrecords.jpg
purchasing,Purchasing,purchasing.jpg
registration,Registration & Records,registration.jpg
scholarships,Undergraduate Scholarships & Tuition Awards,scholarship.jpg
sciencesupport,Science Support Center,sciencesupport.jpg
strategicplan,Strategic Plan,strategicplan.jpg
studies,Fields of Study,studies.jpg
styleguide,Style Guide,styleguide.jpg
summer,Summer,summer.jpg
surf,Summer Undergraduate Research Fellowships,surf.jpg
sustainableinfrastructure,Center for Sustainable
Infrastructure,sustainableinfrastructure.jpg
tacoma,Tacoma Program,tacoma.jpg
technology,Technology,technology.jpg
tour,Tour & Maps,tour.jpg
veterans,Veterans Resource Center,veteran.jpg
webresources,Web Resources,webresources.jpg
about,About,about.jpg
academics,Academics,academics.jpg
academicstatement,Academic Statement,academicstatement.jpg
activities,Student Activities,
admissions,Admissions,admissions.jpg
advising,Advising,advising.jpg
aglab,Sustainable Agriculture Lab,
alumni,Alumni Programs,alumni.jpg
annualreport,Annual Reports,
campuscalendar,Campus Calendar,campuscalendar.jpg
campuslife,Campus Life,campuslife.jpg
career,Career Center,career.jpg
catalog,Academic Catalog,catalog.jpg
civicengagement,Civic Engagement Institute,civicengagement.jpg
commute,Commute Trip Reduction,commute.jpg
costs,Costs & Aid,costs.jpg
currentstudent,Current Students,currentstudent.jpg
dining,Dining,dining.jpg
directory,Directories,
employment,Employment,employment.jpg
equalopportunity,Affirmative Action & Equal Opportunity,
evaluations,Evaluations,evaluations.jpg
eveningweekend,Evening and Weekend Programs,eveningweekend.jpg
faculty,Faculty Directory,
facultystaff,Faculty & Staff,facutystaff.jpg
financialaid,Financial Aid,
financialservices,Financial Services (Bursar),financialservices.jpg
geoduck,Geoducks,graduatestudies.jpg
govrelations,Government Relations,
graduatestudies,Graduate Studies,
housing,Housing,housing.jpg
magazine,Evergreen Magazine,magazine.jpg
medialoan,Media Loan,medialoan.jpg
mes,Master of Environmental Studies,mes.jpg
mit,Master in Teaching,
motorpool,Motor Pool,
payroll,Payroll & Benefits,payroll.jpg
press,The Evergreen State College Press,
recreation,Recreation,recreation.jpg
salt,SALT,
schedules,Room and Class Schedules,
titleix,Title IX,
wacla,Washington Coalition for the Liberal Arts,wacla.jpg
