,,,,,,,,,TUITION Rates,Resident,Non-Resident,18+credits Resident,18+ Credits Non-resident,
,,,,,,,,,Undergraduate,217.8,766.9,190,716,
,,,,,,,,,Graduate,319.3,737.9,0,0,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG
467.10,1565.30,670.10,1507.30,31.50,435.6,1533.8,638.6,1475.8,2,0.00,10.00,2.00,11.50,8.00
694.15,2341.45,998.65,2254.45,40.75,653.4,2300.7,957.9,2213.7,3,0.00,12.50,3.00,17.25,8.00
921.20,3117.60,1327.20,3001.60,50.00,871.2,3067.6,1277.2,2951.6,4,0.00,15.00,4.00,23.00,8.00
1148.25,3893.75,1655.75,3748.75,59.25,1089,3834.5,1596.5,3689.5,5,0.00,17.50,5.00,28.75,8.00
1375.30,4669.90,1984.30,4495.90,68.50,1306.8,4601.4,1915.8,4427.4,6,0.00,20.00,6.00,34.50,8.00
1602.35,5446.05,2312.85,5243.05,77.75,1524.6,5368.3,2235.1,5165.3,7,0.00,22.50,7.00,40.25,8.00
1829.40,6222.20,2641.40,5990.20,87.00,1742.4,6135.2,2554.4,5903.2,8,0.00,25.00,8.00,46.00,8.00
2056.45,6998.35,2969.95,6737.35,96.25,1960.2,6902.1,2873.7,6641.1,9,0.00,27.50,9.00,51.75,8.00
2375.50,7866.50,3390.50,7576.50,197.50,2178,7669,3193,7379,10,92.00,30.00,10.00,57.50,8.00
2384.75,7875.75,3399.75,7585.75,206.75,2178,7669,3193,7379,11,92.00,32.50,11.00,63.25,8.00
2394.00,7885.00,3409.00,7595.00,216.00,2178,7669,3193,7379,12,92.00,35.00,12.00,69.00,8.00
2400.75,7891.75,3415.75,7601.75,222.75,2178,7669,3193,7379,13,92.00,35.00,13.00,74.75,8.00
2407.50,7898.50,3422.50,7608.50,229.50,2178,7669,3193,7379,14,92.00,35.00,14.00,80.50,8.00
2414.25,7905.25,3429.25,7615.25,236.25,2178,7669,3193,7379,15,92.00,35.00,15.00,86.25,8.00
2421.00,7912.00,3436.00,7622.00,243.00,2178,7669,3193,7379,16,92.00,35.00,16.00,92.00,8.00
2427.75,7918.75,,,249.75,2178,7669,,,17,92.00,35.00,17.00,97.75,8.00
2434.50,7925.50,,,256.50,2178,7669,,,18,92.00,35.00,18.00,103.50,8.00
2631.25,8648.25,,,263.25,2368,8385,,,19,92.00,35.00,19.00,109.25,8.00
2828.00,9371.00,,,270.00,2558,9101,,,20,92.00,35.00,20.00,115.00,8.00
,,,,,,,,,SUMMER TUITION Rates,Resident,Non-Resident,,,
,,,,,,,,,Undergraduate,0,0,,,
,,,,,,,,,Graduate,0,0,,,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG
26.50,26.50,26.50,26.50,26.50,0,0,0,0,2,0.00,5.00,2.00,11.50,8.00
35.75,35.75,35.75,35.75,35.75,0,0,0,0,3,0.00,7.50,3.00,17.25,8.00
45.00,45.00,45.00,45.00,45.00,0,0,0,0,4,0.00,10.00,4.00,23.00,8.00
54.25,54.25,54.25,54.25,54.25,0,0,0,0,5,0.00,12.50,5.00,28.75,8.00
63.50,63.50,63.50,63.50,63.50,0,0,0,0,6,0.00,15.00,6.00,34.50,8.00
72.75,72.75,72.75,72.75,72.75,0,0,0,0,7,0.00,17.50,7.00,40.25,8.00
82.00,82.00,82.00,82.00,82.00,0,0,0,0,8,0.00,20.00,8.00,46.00,8.00
91.25,91.25,91.25,91.25,91.25,0,0,0,0,9,0.00,22.50,9.00,51.75,8.00
100.50,100.50,100.50,100.50,100.50,0,0,0,0,10,0.00,25.00,10.00,57.50,8.00
109.75,109.75,109.75,109.75,109.75,0,0,0,0,11,0.00,27.50,11.00,63.25,8.00
119.00,119.00,119.00,119.00,119.00,0,0,0,0,12,0.00,30.00,12.00,69.00,8.00
125.75,125.75,125.75,125.75,125.75,0,0,0,0,13,0.00,30.00,13.00,74.75,8.00
132.50,132.50,132.50,132.50,132.50,0,0,0,0,14,0.00,30.00,14.00,80.50,8.00
139.25,139.25,139.25,139.25,139.25,0,0,0,0,15,0.00,30.00,15.00,86.25,8.00
146.00,146.00,146.00,146.00,146.00,0,0,0,0,16,0.00,30.00,16.00,92.00,8.00
152.75,152.75,,,152.75,0,0,,,17,0.00,30.00,17.00,97.75,8.00
159.50,159.50,,,159.50,0,0,,,18,0.00,30.00,18.00,103.50,8.00
166.25,166.25,,,166.25,0,0,,,19,0.00,30.00,19.00,109.25,8.00
173.00,173.00,,,173.00,0,0,,,20,0.00,30.00,20.00,115.00,8.00
