read comment,,,,,,,,,TUITION Rates,Resident,Non-Resident,18+credits Resident,18+ Credits Non-resident,
,,,,,,,,,Undergraduate,218.4,804.8,190,750,
,,,,,,,,,Graduate,334.8,774.4,0,0,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG
468.30,1641.10,701.10,1580.30,31.50,436.8,1609.6,669.6,1548.8,2,0.00,10.00,2.00,11.50,8.00
695.95,2455.15,1045.15,2363.95,40.75,655.2,2414.4,1004.4,2323.2,3,0.00,12.50,3.00,17.25,8.00
923.60,3269.20,1389.20,3147.60,50.00,873.6,3219.2,1339.2,3097.6,4,0.00,15.00,4.00,23.00,8.00
1151.25,4083.25,1733.25,3931.25,59.25,1092,4024,1674,3872,5,0.00,17.50,5.00,28.75,8.00
1378.90,4897.30,2077.30,4714.90,68.50,1310.4,4828.8,2008.8,4646.4,6,0.00,20.00,6.00,34.50,8.00
1606.55,5711.35,2421.35,5498.55,77.75,1528.8,5633.6,2343.6,5420.8,7,0.00,22.50,7.00,40.25,8.00
1834.20,6525.40,2765.40,6282.20,87.00,1747.2,6438.4,2678.4,6195.2,8,0.00,25.00,8.00,46.00,8.00
2061.85,7339.45,3109.45,7065.85,96.25,1965.6,7243.2,3013.2,6969.6,9,0.00,27.50,9.00,51.75,8.00
2381.50,8245.50,3545.50,7941.50,197.50,2184,8048,3348,7744,10,92.00,30.00,10.00,57.50,8.00
2390.75,8254.75,3554.75,7950.75,206.75,2184,8048,3348,7744,11,92.00,32.50,11.00,63.25,8.00
2400.00,8264.00,3564.00,7960.00,216.00,2184,8048,3348,7744,12,92.00,35.00,12.00,69.00,8.00
2406.75,8270.75,3570.75,7966.75,222.75,2184,8048,3348,7744,13,92.00,35.00,13.00,74.75,8.00
2413.50,8277.50,3577.50,7973.50,229.50,2184,8048,3348,7744,14,92.00,35.00,14.00,80.50,8.00
2420.25,8284.25,3584.25,7980.25,236.25,2184,8048,3348,7744,15,92.00,35.00,15.00,86.25,8.00
2427.00,8291.00,3591.00,7987.00,243.00,2184,8048,3348,7744,16,92.00,35.00,16.00,92.00,8.00
2433.75,8297.75,,,249.75,2184,8048,,,17,92.00,35.00,17.00,97.75,8.00
2440.50,8304.50,,,256.50,2184,8048,,,18,92.00,35.00,18.00,103.50,8.00
2637.25,9061.25,,,263.25,2374,8798,,,19,92.00,35.00,19.00,109.25,8.00
2834.00,9818.00,,,270.00,2564,9548,,,20,92.00,35.00,20.00,115.00,8.00
,,,,,,,,,SUMMER TUITION Rates,Resident,Non-Resident,,,
,,,,,,,,,Undergraduate,0,0,,,
,,,,,,,,,Graduate,0,0,,,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG
31.50,31.50,31.50,31.50,31.50,0,0,0,0,2,0.00,10.00,2.00,11.50,8.00
40.75,40.75,40.75,40.75,40.75,0,0,0,0,3,0.00,12.50,3.00,17.25,8.00
50.00,50.00,50.00,50.00,50.00,0,0,0,0,4,0.00,15.00,4.00,23.00,8.00
59.25,59.25,59.25,59.25,59.25,0,0,0,0,5,0.00,17.50,5.00,28.75,8.00
68.50,68.50,68.50,68.50,68.50,0,0,0,0,6,0.00,20.00,6.00,34.50,8.00
77.75,77.75,77.75,77.75,77.75,0,0,0,0,7,0.00,22.50,7.00,40.25,8.00
87.00,87.00,87.00,87.00,87.00,0,0,0,0,8,0.00,25.00,8.00,46.00,8.00
96.25,96.25,96.25,96.25,96.25,0,0,0,0,9,0.00,27.50,9.00,51.75,8.00
105.50,105.50,105.50,105.50,105.50,0,0,0,0,10,0.00,30.00,10.00,57.50,8.00
114.75,114.75,114.75,114.75,114.75,0,0,0,0,11,0.00,32.50,11.00,63.25,8.00
124.00,124.00,124.00,124.00,124.00,0,0,0,0,12,0.00,35.00,12.00,69.00,8.00
130.75,130.75,130.75,130.75,130.75,0,0,0,0,13,0.00,35.00,13.00,74.75,8.00
137.50,137.50,137.50,137.50,137.50,0,0,0,0,14,0.00,35.00,14.00,80.50,8.00
144.25,144.25,144.25,144.25,144.25,0,0,0,0,15,0.00,35.00,15.00,86.25,8.00
151.00,151.00,151.00,151.00,151.00,0,0,0,0,16,0.00,35.00,16.00,92.00,8.00
157.75,157.75,,,157.75,0,0,,,17,0.00,35.00,17.00,97.75,8.00
164.50,164.50,,,164.50,0,0,,,18,0.00,35.00,18.00,103.50,8.00
171.25,171.25,,,171.25,0,0,,,19,0.00,35.00,19.00,109.25,8.00
178.00,178.00,,,178.00,0,0,,,20,0.00,35.00,20.00,115.00,8.00
