read comment,,,,,,,,,TUITION Rates,Resident,Non-Resident,18+credits Resident,18+ Credits Non-resident,,
,,,,,,,,,Undergraduate,222.6,804.6,194,750,,
,,,,,,,,,Graduate,334.6,774.2,0,0,,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG,GSU
484.20,1648.20,708.20,1587.40,39.00,445.2,1609.2,669.2,1548.4,2,0.00,10.00,2.00,11.50,8.00,7.50
716.05,2462.05,1052.05,2370.85,48.25,667.8,2413.8,1003.8,2322.6,3,0.00,12.50,3.00,17.25,8.00,7.50
947.90,3275.90,1395.90,3154.30,57.50,890.4,3218.4,1338.4,3096.8,4,0.00,15.00,4.00,23.00,8.00,7.50
1179.75,4089.75,1739.75,3937.75,66.75,1113,4023,1673,3871,5,0.00,17.50,5.00,28.75,8.00,7.50
1411.60,4903.60,2083.60,4721.20,76.00,1335.6,4827.6,2007.6,4645.2,6,0.00,20.00,6.00,34.50,8.00,7.50
1643.45,5717.45,2427.45,5504.65,85.25,1558.2,5632.2,2342.2,5419.4,7,0.00,22.50,7.00,40.25,8.00,7.50
1875.30,6531.30,2771.30,6288.10,94.50,1780.8,6436.8,2676.8,6193.6,8,0.00,25.00,8.00,46.00,8.00,7.50
2107.15,7345.15,3115.15,7071.55,103.75,2003.4,7241.4,3011.4,6967.8,9,0.00,27.50,9.00,51.75,8.00,7.50
2431.00,8251.00,3551.00,7947.00,205.00,2226,8046,3346,7742,10,92.00,30.00,10.00,57.50,8.00,7.50
2440.25,8260.25,3560.25,7956.25,214.25,2226,8046,3346,7742,11,92.00,32.50,11.00,63.25,8.00,7.50
2449.50,8269.50,3569.50,7965.50,223.50,2226,8046,3346,7742,12,92.00,35.00,12.00,69.00,8.00,7.50
2456.25,8276.25,3576.25,7972.25,230.25,2226,8046,3346,7742,13,92.00,35.00,13.00,74.75,8.00,7.50
2463.00,8283.00,3583.00,7979.00,237.00,2226,8046,3346,7742,14,92.00,35.00,14.00,80.50,8.00,7.50
2469.75,8289.75,3589.75,7985.75,243.75,2226,8046,3346,7742,15,92.00,35.00,15.00,86.25,8.00,7.50
2476.50,8296.50,3596.50,7992.50,250.50,2226,8046,3346,7742,16,92.00,35.00,16.00,92.00,8.00,7.50
2483.25,8303.25,,,257.25,2226,8046,,,17,92.00,35.00,17.00,97.75,8.00,7.50
2490.00,8310.00,,,264.00,2226,8046,,,18,92.00,35.00,18.00,103.50,8.00,7.50
2690.75,9066.75,,,270.75,2420,8796,,,19,92.00,35.00,19.00,109.25,8.00,7.50
2891.50,9823.50,,,277.50,2614,9546,,,20,92.00,35.00,20.00,115.00,8.00,7.50
,,,,,,,,,SUMMER TUITION Rates,Resident,Non-Resident,,,,
,,,,,,,,,Undergraduate,0,0,,,,
,,,,,,,,,Graduate,0,0,,,,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG,GSU
39.00,39.00,39.00,39.00,39.00,0,0,0,0,2,0.00,10.00,2.00,11.50,8.00,7.50
48.25,48.25,48.25,48.25,48.25,0,0,0,0,3,0.00,12.50,3.00,17.25,8.00,7.50
57.50,57.50,57.50,57.50,57.50,0,0,0,0,4,0.00,15.00,4.00,23.00,8.00,7.50
66.75,66.75,66.75,66.75,66.75,0,0,0,0,5,0.00,17.50,5.00,28.75,8.00,7.50
76.00,76.00,76.00,76.00,76.00,0,0,0,0,6,0.00,20.00,6.00,34.50,8.00,7.50
85.25,85.25,85.25,85.25,85.25,0,0,0,0,7,0.00,22.50,7.00,40.25,8.00,7.50
94.50,94.50,94.50,94.50,94.50,0,0,0,0,8,0.00,25.00,8.00,46.00,8.00,7.50
103.75,103.75,103.75,103.75,103.75,0,0,0,0,9,0.00,27.50,9.00,51.75,8.00,7.50
113.00,113.00,113.00,113.00,113.00,0,0,0,0,10,0.00,30.00,10.00,57.50,8.00,7.50
122.25,122.25,122.25,122.25,122.25,0,0,0,0,11,0.00,32.50,11.00,63.25,8.00,7.50
131.50,131.50,131.50,131.50,131.50,0,0,0,0,12,0.00,35.00,12.00,69.00,8.00,7.50
138.25,138.25,138.25,138.25,138.25,0,0,0,0,13,0.00,35.00,13.00,74.75,8.00,7.50
145.00,145.00,145.00,145.00,145.00,0,0,0,0,14,0.00,35.00,14.00,80.50,8.00,7.50
151.75,151.75,151.75,151.75,151.75,0,0,0,0,15,0.00,35.00,15.00,86.25,8.00,7.50
158.50,158.50,158.50,158.50,158.50,0,0,0,0,16,0.00,35.00,16.00,92.00,8.00,7.50
165.25,165.25,,,165.25,0,0,,,17,0.00,35.00,17.00,97.75,8.00,7.50
172.00,172.00,,,172.00,0,0,,,18,0.00,35.00,18.00,103.50,8.00,7.50
178.75,178.75,,,178.75,0,0,,,19,0.00,35.00,19.00,109.25,8.00,7.50
185.50,185.50,,,185.50,0,0,,,20,0.00,35.00,20.00,115.00,8.00,7.50
