read comment,,,,,,,,,TUITION Rates,Resident,Non-Resident,18+credits Resident,18+ Credits Non-resident,Health Fee,
,7447.75,,,,,,,,Undergraduate,227,844.2,198,787,108,
,,,,,,,,,Graduate,350.7,812.4,0,0,,
Total Resident Undergraduate,Total Non-resident Undergraduate,Total Resident Graduate,Total Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG,GSU
493.00,1727.40,740.40,1663.80,39.00,454,1688.4,701.4,1624.8,2,0.00,10.00,2.00,11.50,8.00,7.50
729.25,2580.85,1100.35,2485.45,48.25,681,2532.6,1052.1,2437.2,3,0.00,12.50,3.00,17.25,8.00,7.50
1073.50,3542.30,1568.30,3415.10,165.50,908,3376.8,1402.8,3249.6,4,108.00,15.00,4.00,23.00,8.00,7.50
1309.75,4395.75,1928.25,4236.75,174.75,1135,4221,1753.5,4062,5,108.00,17.50,5.00,28.75,8.00,7.50
1546.00,5249.20,2288.20,5058.40,184.00,1362,5065.2,2104.2,4874.4,6,108.00,20.00,6.00,34.50,8.00,7.50
1782.25,6102.65,2648.15,5880.05,193.25,1589,5909.4,2454.9,5686.8,7,108.00,22.50,7.00,40.25,8.00,7.50
2018.50,6956.10,3008.10,6701.70,202.50,1816,6753.6,2805.6,6499.2,8,108.00,25.00,8.00,46.00,8.00,7.50
2254.75,7809.55,3368.05,7523.35,211.75,2043,7597.8,3156.3,7311.6,9,108.00,27.50,9.00,51.75,8.00,7.50
2491.00,8663.00,3728.00,8345.00,221.00,2270,8442,3507,8124,10,108.00,30.00,10.00,57.50,8.00,7.50
2500.25,8672.25,3737.25,8354.25,230.25,2270,8442,3507,8124,11,108.00,32.50,11.00,63.25,8.00,7.50
2509.50,8681.50,3746.50,8363.50,239.50,2270,8442,3507,8124,12,108.00,35.00,12.00,69.00,8.00,7.50
2516.25,8688.25,3753.25,8370.25,246.25,2270,8442,3507,8124,13,108.00,35.00,13.00,74.75,8.00,7.50
2523.00,8695.00,3760.00,8377.00,253.00,2270,8442,3507,8124,14,108.00,35.00,14.00,80.50,8.00,7.50
2529.75,8701.75,3766.75,8383.75,259.75,2270,8442,3507,8124,15,108.00,35.00,15.00,86.25,8.00,7.50
2536.50,8708.50,3773.50,8390.50,266.50,2270,8442,3507,8124,16,108.00,35.00,16.00,92.00,8.00,7.50
2543.25,8715.25,,,273.25,2270,8442,,,17,108.00,35.00,17.00,97.75,8.00,7.50
2550.00,8722.00,,,280.00,2270,8442,,,18,108.00,35.00,18.00,103.50,8.00,7.50
2754.75,9515.75,,,286.75,2468,9229,,,19,108.00,35.00,19.00,109.25,8.00,7.50
2959.50,10309.50,,,293.50,2666,10016,,,20,108.00,35.00,20.00,115.00,8.00,7.50
,,,,,,,,,SUMMER TUITION Rates,Resident,Non-Resident,,,,
,,,,,,,,,Undergraduate,0,0,,,,
,,,,,,,,,Graduate,0,0,,,,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG,GSU
39.00,39.00,39.00,39.00,39.00,0,0,0,0,2,0.00,10.00,2.00,11.50,8.00,7.50
48.25,48.25,48.25,48.25,48.25,0,0,0,0,3,0.00,12.50,3.00,17.25,8.00,7.50
57.50,57.50,57.50,57.50,57.50,0,0,0,0,4,0.00,15.00,4.00,23.00,8.00,7.50
66.75,66.75,66.75,66.75,66.75,0,0,0,0,5,0.00,17.50,5.00,28.75,8.00,7.50
76.00,76.00,76.00,76.00,76.00,0,0,0,0,6,0.00,20.00,6.00,34.50,8.00,7.50
85.25,85.25,85.25,85.25,85.25,0,0,0,0,7,0.00,22.50,7.00,40.25,8.00,7.50
94.50,94.50,94.50,94.50,94.50,0,0,0,0,8,0.00,25.00,8.00,46.00,8.00,7.50
103.75,103.75,103.75,103.75,103.75,0,0,0,0,9,0.00,27.50,9.00,51.75,8.00,7.50
113.00,113.00,113.00,113.00,113.00,0,0,0,0,10,0.00,30.00,10.00,57.50,8.00,7.50
122.25,122.25,122.25,122.25,122.25,0,0,0,0,11,0.00,32.50,11.00,63.25,8.00,7.50
131.50,131.50,131.50,131.50,131.50,0,0,0,0,12,0.00,35.00,12.00,69.00,8.00,7.50
138.25,138.25,138.25,138.25,138.25,0,0,0,0,13,0.00,35.00,13.00,74.75,8.00,7.50
145.00,145.00,145.00,145.00,145.00,0,0,0,0,14,0.00,35.00,14.00,80.50,8.00,7.50
151.75,151.75,151.75,151.75,151.75,0,0,0,0,15,0.00,35.00,15.00,86.25,8.00,7.50
158.50,158.50,158.50,158.50,158.50,0,0,0,0,16,0.00,35.00,16.00,92.00,8.00,7.50
165.25,165.25,,,165.25,0,0,,,17,0.00,35.00,17.00,97.75,8.00,7.50
172.00,172.00,,,172.00,0,0,,,18,0.00,35.00,18.00,103.50,8.00,7.50
178.75,178.75,,,178.75,0,0,,,19,0.00,35.00,19.00,109.25,8.00,7.50
185.50,185.50,,,185.50,0,0,,,20,0.00,35.00,20.00,115.00,8.00,7.50
