read comment,,,,,,,,,TUITION Rates,Resident,Non-Resident,18+credits Resident,18+ Credits Non-resident,Health Fee,
,7447.75,,,,,,,,Undergraduate,227.5,844.5,198,787,140,
,,,,,,,,,Graduate,351,812.7,0,0,,
Total Resident Undergraduate,Total Non-resident Undergraduate,Total Resident Graduate,Total Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG,GSU
494.00,1728.00,741.00,1664.40,39.00,455,1689,702,1625.4,2,0.00,10.00,2.00,11.50,8.00,7.50
730.75,2581.75,1101.25,2486.35,48.25,682.5,2533.5,1053,2438.1,3,0.00,12.50,3.00,17.25,8.00,7.50
1107.50,3575.50,1601.50,3448.30,197.50,910,3378,1404,3250.8,4,140.00,15.00,4.00,23.00,8.00,7.50
1344.25,4429.25,1961.75,4270.25,206.75,1137.5,4222.5,1755,4063.5,5,140.00,17.50,5.00,28.75,8.00,7.50
1581.00,5283.00,2322.00,5092.20,216.00,1365,5067,2106,4876.2,6,140.00,20.00,6.00,34.50,8.00,7.50
1817.75,6136.75,2682.25,5914.15,225.25,1592.5,5911.5,2457,5688.9,7,140.00,22.50,7.00,40.25,8.00,7.50
2054.50,6990.50,3042.50,6736.10,234.50,1820,6756,2808,6501.6,8,140.00,25.00,8.00,46.00,8.00,7.50
2291.25,7844.25,3402.75,7558.05,243.75,2047.5,7600.5,3159,7314.3,9,140.00,27.50,9.00,51.75,8.00,7.50
2528.00,8698.00,3763.00,8380.00,253.00,2275,8445,3510,8127,10,140.00,30.00,10.00,57.50,8.00,7.50
2537.25,8707.25,3772.25,8389.25,262.25,2275,8445,3510,8127,11,140.00,32.50,11.00,63.25,8.00,7.50
2546.50,8716.50,3781.50,8398.50,271.50,2275,8445,3510,8127,12,140.00,35.00,12.00,69.00,8.00,7.50
2553.25,8723.25,3788.25,8405.25,278.25,2275,8445,3510,8127,13,140.00,35.00,13.00,74.75,8.00,7.50
2560.00,8730.00,3795.00,8412.00,285.00,2275,8445,3510,8127,14,140.00,35.00,14.00,80.50,8.00,7.50
2566.75,8736.75,3801.75,8418.75,291.75,2275,8445,3510,8127,15,140.00,35.00,15.00,86.25,8.00,7.50
2573.50,8743.50,3808.50,8425.50,298.50,2275,8445,3510,8127,16,140.00,35.00,16.00,92.00,8.00,7.50
2580.25,8750.25,,,305.25,2275,8445,,,17,140.00,35.00,17.00,97.75,8.00,7.50
2587.00,8757.00,,,312.00,2275,8445,,,18,140.00,35.00,18.00,103.50,8.00,7.50
2791.75,9550.75,,,318.75,2473,9232,,,19,140.00,35.00,19.00,109.25,8.00,7.50
2996.50,10344.50,,,325.50,2671,10019,,,20,140.00,35.00,20.00,115.00,8.00,7.50
,,,,,,,,,SUMMER TUITION Rates,Resident,Non-Resident,,,,
,,,,,,,,,Undergraduate,0,0,,,,
,,,,,,,,,Graduate,0,0,,,,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG,GSU
39.00,39.00,39.00,39.00,39.00,0,0,0,0,2,0.00,10.00,2.00,11.50,8.00,7.50
48.25,48.25,48.25,48.25,48.25,0,0,0,0,3,0.00,12.50,3.00,17.25,8.00,7.50
57.50,57.50,57.50,57.50,57.50,0,0,0,0,4,0.00,15.00,4.00,23.00,8.00,7.50
66.75,66.75,66.75,66.75,66.75,0,0,0,0,5,0.00,17.50,5.00,28.75,8.00,7.50
76.00,76.00,76.00,76.00,76.00,0,0,0,0,6,0.00,20.00,6.00,34.50,8.00,7.50
85.25,85.25,85.25,85.25,85.25,0,0,0,0,7,0.00,22.50,7.00,40.25,8.00,7.50
94.50,94.50,94.50,94.50,94.50,0,0,0,0,8,0.00,25.00,8.00,46.00,8.00,7.50
103.75,103.75,103.75,103.75,103.75,0,0,0,0,9,0.00,27.50,9.00,51.75,8.00,7.50
113.00,113.00,113.00,113.00,113.00,0,0,0,0,10,0.00,30.00,10.00,57.50,8.00,7.50
122.25,122.25,122.25,122.25,122.25,0,0,0,0,11,0.00,32.50,11.00,63.25,8.00,7.50
131.50,131.50,131.50,131.50,131.50,0,0,0,0,12,0.00,35.00,12.00,69.00,8.00,7.50
138.25,138.25,138.25,138.25,138.25,0,0,0,0,13,0.00,35.00,13.00,74.75,8.00,7.50
145.00,145.00,145.00,145.00,145.00,0,0,0,0,14,0.00,35.00,14.00,80.50,8.00,7.50
151.75,151.75,151.75,151.75,151.75,0,0,0,0,15,0.00,35.00,15.00,86.25,8.00,7.50
158.50,158.50,158.50,158.50,158.50,0,0,0,0,16,0.00,35.00,16.00,92.00,8.00,7.50
165.25,165.25,,,165.25,0,0,,,17,0.00,35.00,17.00,97.75,8.00,7.50
172.00,172.00,,,172.00,0,0,,,18,0.00,35.00,18.00,103.50,8.00,7.50
178.75,178.75,,,178.75,0,0,,,19,0.00,35.00,19.00,109.25,8.00,7.50
185.50,185.50,,,185.50,0,0,,,20,0.00,35.00,20.00,115.00,8.00,7.50
