,,,,,,,,,TUITION Rates,Resident,Non-Resident,18+credits Resident,18+ Credits Non-resident,,
,,,,,,,,,Undergraduate,233.5,877.5,202,817,,
,,,,,,,,,Graduate,365,832.5,0,0,,
Total Resident Undergraduate,Total Non-resident Undergraduate,Total Resident Graduate,Total Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG,GSU
506,1794,769,1704,39,467,1755,730,1665,2,0,10,2,11.5,8,7.5
748.75,2680.75,1143.25,2545.75,48.25,700.5,2632.5,1095,2497.5,3,0,12.5,3,17.25,8,7.5
1149.5,3725.5,1675.5,3545.5,215.5,934,3510,1460,3330,4,158,15,4,23,8,7.5
1392.25,4612.25,2049.75,4387.25,224.75,1167,4387.5,1825,4162.5,5,158,17.5,5,28.75,8,7.5
1635,5499,2424,5229,234,1401,5265,2190,4995,6,158,20,6,34.5,8,7.5
1877.75,6385.75,2798.25,6070.75,243.25,1634.5,6142.5,2555,5827.5,7,158,22.5,7,40.25,8,7.5
2120.5,7272.5,3172.5,6912.5,252.5,1868,7020,2920,6660,8,158,25,8,46,8,7.5
2363.25,8159.25,3546.75,7754.25,261.75,2101.5,7897.5,3285,7492.5,9,158,27.5,9,51.75,8,7.5
2606,9046,3921,8596,271,2335,8775,3650,8325,10,158,30,10,57.5,8,7.5
2615.25,9055.25,3930.25,8605.25,280.25,2335,8775,3650,8325,11,158,32.5,11,63.25,8,7.5
2624.5,9064.5,3939.5,8614.5,289.5,2335,8775,3650,8325,12,158,35,12,69,8,7.5
2631.25,9071.25,3946.25,8621.25,296.25,2335,8775,3650,8325,13,158,35,13,74.75,8,7.5
2638,9078,3953,8628,303,2335,8775,3650,8325,14,158,35,14,80.5,8,7.5
2644.75,9084.75,3959.75,8634.75,309.75,2335,8775,3650,8325,15,158,35,15,86.25,8,7.5
2651.5,9091.5,3966.5,8641.5,316.5,2335,8775,3650,8325,16,158,35,16,92,8,7.5
2658.25,9098.25,,,323.25,2335,8775,,,17,158,35,17,97.75,8,7.5
2665,9105,,,330,2335,8775,,,18,158,35,18,103.5,8,7.5
2873.75,9928.75,,,336.75,2537,9592,,,19,158,35,19,109.25,8,7.5
3082.5,10752.5,,,343.5,2739,10409,,,20,158,35,20,115,8,7.5
,,,,,,,,,SUMMER TUITION Rates,Resident,Non-Resident,,,,
,,,,,,,,,Undergraduate,0,0,,,,
,,,,,,,,,Graduate,0,0,,,,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG,GSU
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
