From URL,To URL
learn,ad-direct/learn-2016
snaap,institutionalresearch/snaap
financialreports/docs,financeadmin/docs/reports$1
financialreports/,financeadmin/reports
business/travel/reimbursement,travel
business/travel,travel
ccam,electronicmedia/ccam
facilities/spacescheduling,schedules/how-to-schedule
events/mentoringdays,mentoringdays
events/orientation,orientation
events/return/2016,return/2016
events/return,return
events/sciencecarnival,sciencecarnival
artofgiving,give/art-of-giving
artofliving,give/art-of-giving
give/art-of-living,give/art-of-giving
events/artofliving,give/art-of-giving
diversity/biasincidentprotocol,studentaffairs/biasincidentprotocol
diversity,equity
